Lambda,TrainAccuracy,TrainMeanError,TrainRMSE,TestAccuracy,TestMeanError,TestRMSE
0.1,0.7045925392148031,0.10559365871861837,1.087027986365018,0.702089586700531,0.10432540598783957,1.0916234026429967
0.2,0.7045925392148031,0.10559365871861837,1.087027986365018,0.7021088278303702,0.10428692372816128,1.0915881497517816
0.3,0.7045925392148031,0.10559365871861837,1.087027986365018,0.7021280689602093,0.10424844146848301,1.0915528957220355
0.4,0.7045925392148031,0.10559365871861837,1.087027986365018,0.7021665512198876,0.10417147694912639,1.0914823842465107
0.5,0.7046054070747494,0.10556792299872589,1.0870043108014804,0.7021088278303702,0.1040560301700916,1.0915881497517814
0.6,0.7046054070747494,0.10556792299872589,1.0870043108014804,0.7021088278303702,0.10405603017009157,1.0915881497517814
0.7,0.7046054070747494,0.10556792299872589,1.0870043108014804,0.7021088278303702,0.10405603017009157,1.0915881497517814
0.8,0.7046054070747494,0.10556792299872589,1.0870043108014804,0.7021088278303702,0.10405603017009157,1.0915881497517814
0.9,0.7046054070747494,0.10556792299872589,1.0870043108014804,0.7021088278303702,0.10405603017009157,1.0915881497517814
1.0,0.704579671354857,0.10551645155894111,1.0870516614129113,0.7021088278303702,0.10405603017009157,1.0915881497517814
